z	Hz	Hrz	diff	
0.01	1.67525040943e-05	1.63342338939e-05	6.91031267403e-06	
0.0112332403298	1.88192334006e-05	1.8030001657e-05	6.97429291429e-06	
0.0126185688307	2.11411503601e-05	1.99656858156e-05	7.05420097406e-06	
0.0141747416293	2.37498553496e-05	2.21688591347e-05	7.15376333076e-06	
0.0159228279334	2.6680900003e-05	2.46704865297e-05	7.27745866386e-06	
0.0178864952906	2.99742971611e-05	2.75054370788e-05	7.43061503719e-06	
0.0200923300257	3.36751032132e-05	3.07130502025e-05	7.61949763431e-06	
0.0225701971963	3.78340857546e-05	3.43377686797e-05	7.85137889257e-06	
0.0253536449397	4.25084927758e-05	3.84298551413e-05	8.13458381493e-06	
0.0284803586844	4.77629440151e-05	4.30462132266e-05	8.47850664061e-06	
0.031992671378	5.36704711234e-05	4.82513403656e-05	8.89360108553e-06	
0.035938136638	6.03137415496e-05	5.41184469627e-05	9.3913541495e-06	
0.040370172586	6.77865125343e-05	6.07307876536e-05	9.98426104211e-06	
0.0453487850813	7.61953776917e-05	6.81832657323e-05	1.06858235866e-05	
0.0509413801482	8.5661891442e-05	7.65843938663e-05	1.15105946335e-05	
0.0572236765935	9.6325189122e-05	8.6058725909e-05	1.24742863976e-05	
0.0642807311728	0.000108345267625	9.67499205739e-05	1.35939530486e-05	
0.0722080901839	0.000121907160072	0.000108824665056	1.48882503129e-05	
0.081113083079	0.000137226339455	0.000122477786383	1.63777699972e-05	
0.0911162756115	0.000154555838161	0.000137939027922	1.80854466708e-05	
0.10235310219	0.000174195801579	0.000155482196565	2.00370372886e-05	
0.11497569954	0.000196506552358	0.000175437740094	2.22616815277e-05	
0.129154966501	0.000221926808964	0.000198210375078	2.47925602801e-05	
0.14508287785	0.000250999621298	0.000224304295983	2.7667681944e-05	
0.162975083462	0.000284410117456	0.000254360014892	3.09308416459e-05	
0.18307382803	0.000323041789454	0.000289209496752	3.4632819191e-05	
0.205651230835	0.000368062743215	0.000329960926025	3.88329105628e-05	
0.231012970008	0.000421062075241	0.000378133138767	4.36009302929e-05	
0.25950242114	0.000484273598422	0.000435876756683	4.9019886086e-05	
0.291505306283	0.000560959403877	0.000506354239379	5.51896259546e-05	
0.327454916288	0.000656103756623	0.000594428958795	6.2231914073e-05	
0.367837977183	0.000777755217546	0.000708000626977	7.02976433081e-05	
0.413201240012	0.000939853738247	0.000860823086118	7.95773091967e-05	
0.464158883361	0.00116889573053	0.00107915681199	9.03165791726e-05	
0.5214008288	0.00152230610874	0.00142012646434	0.000102840027289	
0.585702081806	0.00215248945388	0.0020357724334	0.000117588263983	
0.657933224658	0.00364305480855	0.00350946736589	0.000135176733756	
0.739072203353	0.0122240735773	0.0120782500688	0.000156458933375	
0.830217568132	0.00819927934499	0.00837987063512	0.000183101859091	
0.932603346883	0.00288779612328	0.00310455340053	0.000216871162496	
1.04761575279	0.00162714751839	0.00188895136472	0.000261805430901	
1.17681195243	0.00101931817716	0.00134431487982	0.000325011881652	
1.32194114847	0.0006109995365	0.00103259669489	0.000421682123695	
1.48496826225	0.000238635629785	0.000829113943541	0.000590983985425	
1.6681005372	0.000290833091345	0.00068487848893	0.000974379920146	
1.87381742286	0.00220641956343	0.000576738185632	0.00278038183961	
2.10490414451	0.00348587879469	0.000492334104757	0.00299508913947	
2.36448941265	0.00138830436779	0.000424467430504	0.000963967553465	
2.65608778295	0.000902368234843	0.000368657791469	0.000533735132951	
2.98364724028	0.000657753786032	0.000321966036173	0.000335800289669	
3.35160265094	0.00047495897771	0.000282378655192	0.000192618706107	
3.76493580679	0.000103091381075	0.000248464649411	0.000167014878063	
4.22924287439	0.00058332782487	0.000219174150284	0.000364236868671	
4.7508101621	0.000396500662216	0.000193715119511	0.000202795279933	
5.33669923121	0.000271842907424	0.000171475131739	0.000100520149547	
5.99484250319	0.000304006389345	0.000151970234736	0.000152224060322	
6.73415065775	0.000243168179717	0.000134810622964	0.000108363958943	
7.56463327555	0.0001674030884	0.000119677051276	4.78370874903e-05	
8.49753435909	0.000128278973343	0.000106304278646	2.27317419988e-05	
9.54548456662	0.000330039416402	9.44692124349e-05	0.000236203026309	
10.7226722201	0.000118592538289	8.39822555977e-05	9.44963428221e-05	
12.0450354026	0.000143060381998	7.46808742169e-05	6.8384706259e-05	
13.5304777458	0.000105960453456	6.64247290727e-05	3.95394694194e-05	
15.1991108295	7.55711782491e-05	5.90919259915e-05	1.64881333546e-05	
17.0735264747	3.55397775989e-05	5.25760786274e-05	1.76891794214e-05	
19.1791026167	2.89770718609e-05	4.67839701592e-05	1.78462308708e-05	
21.5443469003	2.46869772893e-06	4.16336632612e-05	4.33780614576e-05	
24.2012826479	4.14301342941e-05	3.70529507973e-05	7.84706145105e-05	
27.1858824273	9.01020810654e-05	3.29780695299e-05	0.000122985052815	
30.5385550883	0.000197878050904	2.93526200101e-05	0.000227216721194	
34.3046928631	0.000588633584367	2.61266505513e-05	0.000614634459327	
38.5352859371	0.00355403481898	2.32558736874e-05	0.00353203427359	
43.2876128108	0.000446235111031	2.07009910686e-05	0.00042554885171	
48.6260158007	0.000339303386832	1.84271082309e-05	0.000320964598859	
54.6227721768	0.000185591347913	1.64032246996e-05	0.000169192192504	
61.3590727341	0.000149917345016	1.46017878746e-05	0.000135316614519	
68.9261210435	0.000119913969201	1.29983013866e-05	0.000106915955202	
77.4263682681	9.95061654731e-05	1.15709803208e-05	8.79353433454e-05	
86.9749002618	8.42829784933e-05	1.03004470199e-05	7.39826254909e-05	
