z	Hz	Hrz	diff	
0.01	1.67525040943e-05	1.67526608355e-05	5.33112014251e-08	
0.0112332403298	1.88192334006e-05	1.88193896968e-05	5.33112061981e-08	
0.0126185688307	2.11411503601e-05	2.11413083282e-05	5.33112122202e-08	
0.0141747416293	2.37498553496e-05	2.37500171295e-05	5.33112198177e-08	
0.0159228279334	2.6680900003e-05	2.66810677865e-05	5.33112294025e-08	
0.0178864952906	2.99742971611e-05	2.99744732222e-05	5.33112414937e-08	
0.0200923300257	3.36751032132e-05	3.36752899386e-05	5.33112567454e-08	
0.0225701971963	3.78340857546e-05	3.78342856771e-05	5.33112759819e-08	
0.0253536449397	4.25084927758e-05	4.25087086083e-05	5.33113002413e-08	
0.0284803586844	4.77629440151e-05	4.77631786889e-05	5.33113308307e-08	
0.031992671378	5.36704711234e-05	5.36707278285e-05	5.33113693939e-08	
0.035938136638	6.03137415496e-05	6.03140237798e-05	5.33114179975e-08	
0.040370172586	6.77865125343e-05	6.77868241363e-05	5.33114792364e-08	
0.0453487850813	7.61953776917e-05	7.61957229209e-05	5.33115563647e-08	
0.0509413801482	8.5661891442e-05	8.56622750245e-05	5.33116534557e-08	
0.0572236765935	9.6325189122e-05	9.63256163247e-05	5.33117755974e-08	
0.0642807311728	0.000108345267625	0.000108345744337	5.33119291263e-08	
0.0722080901839	0.000121907160072	0.000121907692896	5.33121219041e-08	
0.081113083079	0.000137226339455	0.000137226935817	5.3312363635e-08	
0.0911162756115	0.000154555838161	0.000154556506438	5.33126662165e-08	
0.10235310219	0.000174195801579	0.000174196551252	5.33130440984e-08	
0.11497569954	0.000196506552358	0.000196507394195	5.33135145997e-08	
0.129154966501	0.000221926808964	0.00022192775525	5.3314098081e-08	
0.14508287785	0.000250999621298	0.000251000686122	5.33148177792e-08	
0.162975083462	0.000284410117456	0.000284411317082	5.33156989455e-08	
0.18307382803	0.000323041789454	0.000323043142807	5.33167666225e-08	
0.205651230835	0.000368062743215	0.000368064272547	5.33180408227e-08	
0.231012970008	0.000421062075241	0.000421063807063	5.33195267694e-08	
0.25950242114	0.000484273598422	0.000484275564857	5.33211956493e-08	
0.291505306283	0.000560959403877	0.000560961644735	5.33229467e-08	
0.327454916288	0.000656103756623	0.000656106322722	5.33245311641e-08	
0.367837977183	0.000777755217546	0.000777758176413	5.33253939758e-08	
0.413201240012	0.000939853738247	0.000939857184704	5.33243240165e-08	
0.464158883361	0.00116889573053	0.00116889980865	5.33186095332e-08	
0.5214008288	0.00152230610874	0.0015223110646	5.33017083723e-08	
0.585702081806	0.00215248945388	0.00215249579452	5.32553430849e-08	
0.657933224658	0.00364305480855	0.00364306400967	5.31112247529e-08	
0.739072203353	0.0122240735773	0.0122240967977	5.23796409719e-08	
0.830217568132	0.00819927934499	0.00819928916225	5.52103949868e-08	
0.932603346883	0.00288779612328	0.00288779612871	5.43102309521e-08	
1.04761575279	0.00162714751839	0.00162714445681	5.4221731951e-08	
1.17681195243	0.00101931817716	0.00101931281798	5.42782407467e-08	
1.32194114847	0.0006109995365	0.000610991527488	5.44123103409e-08	
1.48496826225	0.000238635629785	0.000238622304554	5.46171005405e-08	
1.6681005372	0.000290833091345	0.000290842448455	5.49077029263e-08	
1.87381742286	0.00220641956343	0.00220644487808	5.53841718342e-08	
2.10490414451	0.00348587879469	0.00348586795136	5.55529611708e-08	
2.36448941265	0.00138830436779	0.00138831027598	5.60183256758e-08	
2.65608778295	0.000902368234843	0.000902418346093	5.65253566857e-08	
2.98364724028	0.000657753786032	0.000657768488622	5.77821981115e-08	
3.35160265094	0.00047495897771	0.000474961369059	5.91343875553e-08	
3.76493580679	0.000103091381075	0.000103042170221	6.08387281498e-08	
4.22924287439	0.00058332782487	0.000583343159761	6.34809590495e-08	
4.7508101621	0.000396500662216	0.000396499220265	6.68191736774e-08	
5.33669923121	0.000271842907424	0.000271806610881	7.18791575199e-08	
5.99484250319	0.000304006389345	0.000303956365066	8.33368446876e-08	
6.73415065775	0.000243168179717	0.00024319514784	9.68204228014e-08	
7.56463327555	0.0001674030884	0.00016734698355	1.25894567442e-07	
8.49753435909	0.000128278973343	0.000128361061766	2.5746005338e-07	
9.54548456662	0.000330039416402	0.000330795227552	4.57721288242e-06	
10.7226722201	0.000118592538289	0.0001186996962	1.28972900286e-07	
12.0450354026	0.000143060381998	0.000143015064941	4.81143998353e-08	
13.5304777458	0.000105960453456	0.000105758546504	2.07294686345e-07	
15.1991108295	7.55711782491e-05	7.55294369561e-05	4.19361793293e-08	
17.0735264747	3.55397775989e-05	3.55199646283e-05	2.12182682172e-08	
19.1791026167	2.89770718609e-05	2.89198129495e-05	5.74737841343e-08	
21.5443469003	2.46869772893e-06	2.05609083291e-06	4.16241093845e-07	
24.2012826479	4.14301342941e-05	4.14878789653e-05	6.07649313969e-08	
27.1858824273	9.01020810654e-05	9.00801840604e-05	3.14998588041e-08	
30.5385550883	0.000197878050904	0.000197983299848	1.98422792391e-07	
34.3046928631	0.000588633584367	0.000588663390591	2.05488694261e-07	
38.5352859371	0.00355403481898	0.00355437999178	6.42818897053e-07	
43.2876128108	0.000446235111031	0.000446297172063	4.30190905536e-07	
48.6260158007	0.000339303386832	0.000339131233861	1.76660551561e-07	
54.6227721768	0.000185591347913	0.000185435777745	1.80099061383e-07	
61.3590727341	0.000149917345016	0.000149843469404	3.40751567367e-07	
68.9261210435	0.000119913969201	0.000119886869894	3.97965776504e-08	
77.4263682681	9.95061654731e-05	9.94963310586e-05	2.23458657081e-08	
